Makanan,Karbohidrat,Protein,Sayur,Pengolahan
Rempeyek Teri,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Keripik Bayam,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis
Keripik Singkong,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Rengginang,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Kerupuk Udang,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis
Kentang Mustofa,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Kerupuk Nasi,Beras dan olahannya,Tidak ada,Tidak,Goreng atau tumis
Keripik Singkong Balado,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Sale Pisang,Lainnya,Tidak ada,Tidak,Panggang atau bakar
MPASI 6 Bulan (Bubur Kabocha),Lainnya,Ayam dan daging,Tidak,Rebus atau kukus
Rujak Mangga Muda,Tidak ada,Tidak ada,Tidak,Lainnya
Kolak Durian,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Setup Pisang,Lainnya,Tidak ada,Tidak,Rebus atau kukus
Kolak Labu,Lainnya,Tidak ada,Tidak,Rebus atau kukus
Rujak Serut,Tidak ada,Tidak ada,Tidak,Lainnya
Overnight Oat,Lainnya,Tidak ada,Tidak,Lainnya
Nanas Goreng,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Sorbet Buah,Tidak ada,Tidak ada,Tidak,Lainnya
Manisan Kolang Kaling,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Manisan Mangga,Tidak ada,Tidak ada,Tidak,Rebus atau kukus
Mango Sticky Rice,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Sarabba,Tidak ada,Tidak ada,Tidak,Rebus atau kukus
Rujak Buah,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Lainnya
Lotek,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Lainnya
Guacamole,Tidak ada,Tidak ada,Tidak,Lainnya
Asinan Rambutan,Tidak ada,Tidak ada,Tidak,Lainnya
Asinan Buah,Tidak ada,Tidak ada,Tidak,Lainnya
Sop Buah,Tidak ada,Tidak ada,Tidak,Lainnya
